SEED,protected_att,target,method,anon_parameter,threshold_target,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
22,race,v_decile_score,t-closeness,0.5,2,-0.8130841121495327,-0.7486631016042781,-0.111211976903387,-0.8630705394190872,-0.1195063694267515,0.6619318181818182,0.7333831217326363,0.693502824858757,0.7781299524564184,0.6337708585811503,"[[208 217]
 [140 491]]",0.025923565,0.2508782096038537,0.019538555
23,race,v_decile_score,t-closeness,0.5,2,-0.8162790697674418,-0.8118811881188119,-0.178022141318077,-0.8201754385964912,-0.2202652970437173,0.6287878787878788,0.7087667161961367,0.676595744680851,0.7441497659906396,0.597376087814597,"[[187 228]
 [164 477]]",0.024986982,0.1808625161584042,0.018654376
24,race,v_decile_score,t-closeness,0.5,2,-0.7813953488372093,-0.7676767676767677,-0.1711865666097035,-0.7931034482758621,-0.2167085854122765,0.6363636363636364,0.7176470588235294,0.6777777777777778,0.7625,0.6024038461538461,"[[184 232]
 [152 488]]",0.023273006,0.2324284055947856,0.01744781
25,race,v_decile_score,t-closeness,0.5,2,-1.0,-1.0,-0.1469017094017093,-1.0,-0.6955128205128205,0.6354166666666666,0.6927374301675978,0.6955128205128205,0.6899841017488076,0.622509615277214,"[[237 190]
 [195 434]]",0.021201596,0.2742865692668043,0.016675975
26,race,v_decile_score,t-closeness,0.5,2,-0.8107476635514019,-0.7814207650273224,-0.1464670516102149,-0.8326530612244898,-0.2227333490603129,0.6571969696969697,0.7302533532041728,0.691114245416079,0.7740916271721959,0.6281805653591476,"[[204 219]
 [143 490]]",0.02196648,0.1642782986164093,0.016783426
27,race,v_decile_score,t-closeness,0.5,2,-0.7857142857142857,-0.7525773195876289,-0.1362982929020664,-0.8141592920353982,-0.1553459119496855,0.634469696969697,0.7157584683357879,0.6694214876033058,0.7689873417721519,0.6014748029615476,"[[184 240]
 [146 486]]",0.019778471,0.2305582867060844,0.0152539965
28,race,v_decile_score,t-closeness,0.5,2,-0.8317972350230415,-0.8177570093457944,-0.2114703572539896,-0.8454545454545455,-0.1956569616350262,0.6429924242424242,0.723404255319149,0.7093525179856115,0.7380239520958084,0.6087026976973887,"[[186 202]
 [175 493]]",0.020177562,0.2059549163738803,0.015068872
29,race,v_decile_score,t-closeness,0.5,2,-0.812807881773399,-0.7936507936507937,-0.1298219022356953,-0.8294930875576036,-0.156072874493927,0.6193181818181818,0.7022222222222222,0.6528925619834711,0.7596153846153846,0.5881410256410257,"[[180 252]
 [150 474]]",0.020985154,0.2881872653961181,0.017015751
30,race,v_decile_score,t-closeness,0.5,2,-0.8108747044917257,-0.7570621468926554,-0.1135760142516217,-0.8495934959349594,-0.1718206951026856,0.6638257575757576,0.7348767737117252,0.6900420757363254,0.7859424920127795,0.6359945018203432,"[[209 221]
 [134 492]]",0.018932838,0.1865553331336192,0.013926604
31,race,v_decile_score,t-closeness,0.5,2,-0.7954545454545454,-0.7810650887573964,-0.1353535353535353,-0.8061674008810573,-0.2341189674523008,0.6401515151515151,0.7218155197657394,0.6653171390013495,0.7888,0.6066969837587006,"[[183 248]
 [132 493]]",0.01997734,0.1633544713258743,0.014812153
32,race,v_decile_score,t-closeness,0.5,2,-0.8114558472553699,-0.7634408602150538,-0.1225913534130377,-0.8497854077253219,-0.1431949605548159,0.6515151515151515,0.7270029673590505,0.6843575418994413,0.7753164556962026,0.6211487938858371,"[[198 226]
 [142 490]]",0.020677019,0.2174074795197455,0.017054327
33,race,v_decile_score,t-closeness,0.5,2,-1.0,-1.0,-0.1681414619709973,-1.0,-0.7048387096774194,0.6354166666666666,0.6942017474185862,0.7048387096774194,0.6838810641627543,0.6225160716497224,"[[234 183]
 [202 437]]",0.022952443,0.1662951856851577,0.01611918
34,race,v_decile_score,t-closeness,0.5,2,-0.8051282051282052,-0.7912087912087912,-0.1498498498498498,-0.8173076923076923,-0.1831831831831831,0.6278409090909091,0.7150108774474256,0.6644204851752021,0.7739403453689168,0.5898341344983009,"[[170 249]
 [144 493]]",0.02167249,0.2107118415044866,0.016651511
35,race,v_decile_score,t-closeness,0.5,2,-0.8207792207792208,-0.7844311377245509,-0.1189695550351288,-0.8486238532110092,-0.1712563986263202,0.6496212121212122,0.7303206997084548,0.677027027027027,0.7927215189873418,0.6145211368521615,"[[185 239]
 [131 501]]",0.02225098,0.319843877538927,0.017514357
