SEED,dataset,protected_att,target,method,anon_parameter,supp_level,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,INF
19,ACSIncome_50000,SEX,PINCP,l-diversity,2,50,0.0,0.0,-0.01097935880544576,0.0,0.0,0.7717391304347826,0.0,0.0,0.0,0.5,"[[710   0]
 [210   0]]",0.0
20,ACSIncome_50000,SEX,PINCP,l-diversity,2,10,-0.019184652278177457,-0.012658227848101266,-0.03274358644297293,-0.020710059171597635,-0.125,0.7782608695652173,0.009708737864077669,0.125,0.005050505050505051,0.4976776070958896,"[[715   7]
 [197   1]]",0.007968881358585301
21,ACSIncome_50000,SEX,PINCP,l-diversity,2,20,-0.017241379310344827,-0.04,0.029834582430852352,-0.00980392156862745,-0.5714285714285714,0.7728260869565218,0.03686635944700461,0.5714285714285714,0.01904761904761905,0.5074111334674715,"[[707   3]
 [206   4]]",0.009633414891083644
22,ACSIncome_50000,SEX,PINCP,l-diversity,2,30,0.0,0.0,0.018952380952380943,0.0,0.0,0.7793478260869565,0.0,0.0,0.0,0.5,"[[717   0]
 [203   0]]",0.0
23,ACSIncome_50000,SEX,PINCP,l-diversity,2,40,-0.021273363432222903,-0.010542720938760543,0.03149464249260581,-0.024390243902439025,0.8,0.7673913043478261,0.02727272727272727,0.2727272727272727,0.014354066985645933,0.5015511544492224,"[[703   8]
 [206   3]]",0.018480270093861637
24,ACSIncome_50000,SEX,PINCP,l-diversity,2,50,0.0,0.0,0.01743489157676803,0.0,0.0,0.782608695652174,0.0,0.0,0.0,0.5,"[[720   0]
 [200   0]]",0.0
25,ACSIncome_50000,SEX,PINCP,l-diversity,2,10,-0.018912529550827423,-0.034482758620689655,0.00919464779219048,-0.01488095238095238,-0.375,0.7945652173913044,0.03076923076923077,0.375,0.016042780748663103,0.5046107491737859,"[[728   5]
 [184   3]]",0.0062670493749448246
26,ACSIncome_50000,SEX,PINCP,l-diversity,2,20,-0.020737327188940093,-0.02830188679245283,0.06802450171625796,-0.018292682926829267,-0.3333333333333333,0.7847826086956522,0.029411764705882353,0.3333333333333333,0.015384615384615385,0.5035543766578249,"[[719   6]
 [192   3]]",0.013408109793637865
27,ACSIncome_50000,SEX,PINCP,l-diversity,2,30,-0.07125890736342043,-0.10204081632653061,0.05212324887304298,-0.06191950464396285,-0.3333333333333333,0.7717391304347826,0.08695652173913043,0.3333333333333333,0.05,0.5111111111111111,"[[700  20]
 [190  10]]",0.02059747236143471
28,ACSIncome_50000,SEX,PINCP,l-diversity,2,40,-0.007365379863526639,-0.020014044943820225,0.042519625173442765,-0.0030303030303030303,0.25,0.8021739130434783,0.042105263157894736,0.8,0.021621621621621623,0.5101305387019673,"[[734   1]
 [181   4]]",0.007332156969860404
29,ACSIncome_50000,SEX,PINCP,l-diversity,2,50,0.04132231404958678,0.06382978723404255,0.01632041853059374,0.035897435897435895,0.3,0.7815217391304348,0.056338028169014086,0.3,0.031088082901554404,0.5059154307217539,"[[713  14]
 [187   6]]",0.038088894250338116
30,ACSIncome_50000,SEX,PINCP,l-diversity,2,10,-0.004415011037527594,-0.011494252873563218,-0.032786420295815244,-0.00273224043715847,-0.5,0.7913043478260869,0.010309278350515464,0.5,0.005208333333333333,0.5019173534798534,"[[727   1]
 [191   1]]",0.002391304347826087
31,ACSIncome_50000,SEX,PINCP,l-diversity,2,20,-0.0022123893805309734,0.0,0.02129188412374261,-0.002932551319648094,0.0,0.7630434782608696,0.0,0.0,0.0,0.4992887624466572,"[[702   1]
 [217   0]]",0.001956521739130435
32,ACSIncome_50000,SEX,PINCP,l-diversity,2,30,-0.01179245283018868,-0.04,-0.008939440048691405,-0.0057306590257879654,-0.6,0.8206521739130435,0.03508771929824561,0.6,0.018072289156626505,0.5077098846313637,"[[752   2]
 [163   3]]",0.005704921888504192
33,ACSIncome_50000,SEX,PINCP,l-diversity,2,40,0.0,0.0,-0.0070829247030620435,0.0,0.0,0.7880434782608695,0.0,0.0,0.0,0.5,"[[725   0]
 [195   0]]",0.0
34,ACSIncome_50000,SEX,PINCP,l-diversity,2,50,0.096,0.058823529411764705,-0.0736190476190477,0.10552763819095477,0.125,0.7576086956521739,0.05106382978723404,0.125,0.03208556149732621,0.48739339466407916,"[[691  42]
 [181   6]]",0.10912705474209895
35,ACSIncome_50000,SEX,PINCP,l-diversity,2,10,-0.009029345372460496,-0.03260869565217391,-0.010676207107060187,-0.002849002849002849,-0.75,0.7913043478260869,0.030303030303030304,0.75,0.015463917525773196,0.5070432535287268,"[[725   1]
 [191   3]]",0.002391304347826087
36,ACSIncome_50000,SEX,PINCP,l-diversity,2,20,-0.009779951100244499,-0.02564102564102564,-0.012813458437600178,-0.006042296072507553,-0.5,0.8021739130434783,0.021505376344086023,0.5,0.01098901098901099,0.5041394919443699,"[[736   2]
 [180   2]]",0.005307437730950673
37,ACSIncome_50000,SEX,PINCP,l-diversity,2,30,-0.11888111888111888,-0.11538461538461539,0.0326720123054135,-0.11965811965811966,-0.17647058823529413,0.758695652173913,0.075,0.17647058823529413,0.047619047619047616,0.4950817536316853,"[[689  42]
 [180   9]]",0.0365307892522484
38,ACSIncome_50000,SEX,PINCP,l-diversity,2,40,-0.019753086419753086,-0.057971014492753624,-0.033513124775260694,-0.011904761904761904,-0.5,0.8108695652173913,0.04395604395604396,0.5,0.022988505747126436,0.5088132877261101,"[[742   4]
 [170   4]]",0.010683072961680641
39,ACSIncome_50000,SEX,PINCP,l-diversity,2,50,0.0,0.0,-0.04215105235164507,0.0,0.0,0.7858695652173913,0.0,0.0,0.0,0.5,"[[723   0]
 [197   0]]",0.0
40,ACSIncome_50000,SEX,PINCP,l-diversity,2,10,-0.0047169811320754715,-0.021052631578947368,0.03183962264150941,0.0,-1.0,0.7978260869565217,0.021052631578947368,1.0,0.010638297872340425,0.5053191489361702,"[[732   0]
 [186   2]]",0.001956521739130435
41,ACSIncome_50000,SEX,PINCP,l-diversity,2,20,-0.004842615012106538,-0.011764705882352941,-0.0032618402892196086,-0.003048780487804878,-0.5,0.7923913043478261,0.010362694300518135,0.5,0.005235602094240838,0.501931929990879,"[[728   1]
 [190   1]]",0.002173913043478261
42,ACSIncome_50000,SEX,PINCP,l-diversity,2,30,-0.02558139534883721,-0.03409090909090909,-4.746084480311552e-05,-0.023391812865497075,-0.2727272727272727,0.783695652173913,0.02926829268292683,0.2727272727272727,0.015463917525773196,0.5022223168896084,"[[718   8]
 [191   3]]",0.013513605744559292
43,ACSIncome_50000,SEX,PINCP,l-diversity,2,40,-0.018140589569160998,-0.028846153846153848,0.01698076586236441,-0.01483679525222552,-0.375,0.7684782608695652,0.0273972602739726,0.375,0.014218009478672985,0.503582911650479,"[[704   5]
 [208   3]]",0.010598369914958843
44,ACSIncome_50000,SEX,PINCP,l-diversity,2,50,0.0,0.0,0.01945265114690975,0.0,0.0,0.7978260869565217,0.0,0.0,0.0,0.5,"[[734   0]
 [186   0]]",0.0
45,ACSIncome_50000,SEX,PINCP,l-diversity,2,10,-0.011135857461024499,-0.02127659574468085,0.007759635708510126,-0.008450704225352112,-0.4,0.7923913043478261,0.020512820512820513,0.4,0.010526315789473684,0.503208363374189,"[[727   3]
 [188   2]]",0.006844626385704038
46,ACSIncome_50000,SEX,PINCP,l-diversity,2,20,0.0,0.0,0.01109922756981574,0.0,0.0,0.7989130434782609,0.0,0.0,0.0,0.5,"[[735   0]
 [185   0]]",0.0
47,ACSIncome_50000,SEX,PINCP,l-diversity,2,30,-0.03051643192488263,-0.047058823529411764,0.02098420482408625,-0.026392961876832845,-0.3076923076923077,0.8,0.041666666666666664,0.3076923076923077,0.0223463687150838,0.5051003098636148,"[[732   9]
 [175   4]]",0.008965791453721584
48,ACSIncome_50000,SEX,PINCP,l-diversity,2,40,-0.013793103448275862,-0.011494252873563218,0.0277521033297784,-0.014367816091954023,-0.16666666666666666,0.8054347826086956,0.011049723756906077,0.16666666666666666,0.005714285714285714,0.4995014381591563,"[[740   5]
 [174   1]]",0.0044378725135593685
49,ACSIncome_50000,SEX,PINCP,l-diversity,2,50,0.23673469387755103,0.2765957446808511,-0.0922164214523018,0.22727272727272727,0.22413793103448276,0.7206521739130435,0.16828478964401294,0.22413793103448276,0.13471502590673576,0.5054593011239319,"[[637  90]
 [167  26]]",0.18149225097032443
